EL1R EL1W EL0R EL0W KRN/USR (HPD/HPD) APRR
---- okok ---- ---- rwx/rwx (rw-/--x) r--/r-x
okok okok ---- ---- rwx/rw- (rw-/--x) rw-/rw-
---- okok ---- ---- rw-/rwx (rw-/--x) -w-/-wx
okok okok ---- ---- rw-/rw- (rw-/--x) rw-/rw-
---- ---- ---- ---- r-x/--x (rw-/--x) r-x/--x
okok ---- ---- ---- r-x/--- (rw-/--x) r-x/---
---- ---- ---- ---- r--/--x (rw-/--x) ---/--x
okok ---- ---- ---- r--/--- (rw-/--x) r--/---
---- ---- ---- ---- r-x/r-x (rw-/--x) r-x/r-x
okok ---- ---- ---- r-x/r-- (rw-/--x) r-x/r--
---- ---- ---- ---- r--/r-x (rw-/--x) ---/--x
okok ---- ---- ---- r--/r-- (rw-/--x) r--/r--
okok okok ---- ---- rwx/--x (rw-/---) r-x/--x
okok okok ---- ---- rwx/--- (rw-/---) rwx/---
okok okok ---- ---- rw-/--x (rw-/---) -w-/--x
okok okok ---- ---- rw-/--- (rw-/---) rw-/---
okok okok ---- ---- rwx/rwx (rw-/---) r--/r-x
okok okok ---- ---- rwx/rw- (rw-/---) rw-/rw-
okok okok ---- ---- rw-/rwx (rw-/---) -w-/-wx
okok okok ---- ---- rw-/rw- (rw-/---) rw-/rw-
okok ---- ---- ---- r-x/--x (rw-/---) r-x/--x
okok ---- ---- ---- r-x/--- (rw-/---) r-x/---
okok ---- ---- ---- r--/--x (rw-/---) ---/--x
okok ---- ---- ---- r--/--- (rw-/---) r--/---
okok ---- ---- ---- r-x/r-x (rw-/---) r-x/r-x
okok ---- ---- ---- r-x/r-- (rw-/---) r-x/r--
okok ---- ---- ---- r--/r-x (rw-/---) ---/--x
okok ---- ---- ---- r--/r-- (rw-/---) r--/r--
okok ---- ---- ---- rwx/--x (r-x/r-x) r-x/--x
okok ---- ---- ---- rwx/--- (r-x/r-x) rwx/---
---- ---- ---- ---- rw-/--x (r-x/r-x) -w-/--x
okok ---- ---- ---- rw-/--- (r-x/r-x) rw-/---
okok ---- okok ---- rwx/rwx (r-x/r-x) r--/r-x
okok ---- okok ---- rwx/rw- (r-x/r-x) rw-/rw-
---- ---- ---- ---- rw-/rwx (r-x/r-x) -w-/-wx
okok ---- okok ---- rw-/rw- (r-x/r-x) rw-/rw-
okok ---- ---- ---- r-x/--x (r-x/r-x) r-x/--x
okok ---- ---- ---- r-x/--- (r-x/r-x) r-x/---
---- ---- ---- ---- r--/--x (r-x/r-x) ---/--x
okok ---- ---- ---- r--/--- (r-x/r-x) r--/---
okok ---- okok ---- r-x/r-x (r-x/r-x) r-x/r-x
okok ---- okok ---- r-x/r-- (r-x/r-x) r-x/r--
---- ---- ---- ---- r--/r-x (r-x/r-x) ---/--x
okok ---- okok ---- r--/r-- (r-x/r-x) r--/r--
okok ---- ---- ---- rwx/--x (r-x/r--) r-x/--x
okok ---- ---- ---- rwx/--- (r-x/r--) rwx/---
okok ---- ---- ---- rw-/--x (r-x/r--) -w-/--x
okok ---- ---- ---- rw-/--- (r-x/r--) rw-/---
okok ---- okok ---- rwx/rwx (r-x/r--) r--/r-x
okok ---- okok ---- rwx/rw- (r-x/r--) rw-/rw-
okok ---- okok ---- rw-/rwx (r-x/r--) -w-/-wx
okok ---- okok ---- rw-/rw- (r-x/r--) rw-/rw-
okok ---- ---- ---- r-x/--x (r-x/r--) r-x/--x
okok ---- ---- ---- r-x/--- (r-x/r--) r-x/---
okok ---- ---- ---- r--/--x (r-x/r--) ---/--x
okok ---- ---- ---- r--/--- (r-x/r--) r--/---
okok ---- okok ---- r-x/r-x (r-x/r--) r-x/r-x
okok ---- okok ---- r-x/r-- (r-x/r--) r-x/r--
okok ---- okok ---- r--/r-x (r-x/r--) ---/--x
okok ---- okok ---- r--/r-- (r-x/r--) r--/r--
---- ---- ---- ---- rwx/--x (r--/r-x) r-x/--x
okok ---- ---- ---- rwx/--- (r--/r-x) rwx/---
---- ---- ---- ---- rw-/--x (r--/r-x) -w-/--x
okok ---- ---- ---- rw-/--- (r--/r-x) rw-/---
---- ---- ---- ---- rwx/rwx (r--/r-x) r--/r-x
okok ---- okok ---- rwx/rw- (r--/r-x) rw-/rw-
---- ---- ---- ---- rw-/rwx (r--/r-x) -w-/-wx
okok ---- okok ---- rw-/rw- (r--/r-x) rw-/rw-
---- ---- ---- ---- r-x/--x (r--/r-x) r-x/--x
okok ---- ---- ---- r-x/--- (r--/r-x) r-x/---
---- ---- ---- ---- r--/--x (r--/r-x) ---/--x
okok ---- ---- ---- r--/--- (r--/r-x) r--/---
---- ---- ---- ---- r-x/r-x (r--/r-x) r-x/r-x
okok ---- okok ---- r-x/r-- (r--/r-x) r-x/r--
---- ---- ---- ---- r--/r-x (r--/r-x) ---/--x
okok ---- okok ---- r--/r-- (r--/r-x) r--/r--
okok ---- ---- ---- rwx/--x (r--/r--) r-x/--x
okok ---- ---- ---- rwx/--- (r--/r--) rwx/---
okok ---- ---- ---- rw-/--x (r--/r--) -w-/--x
okok ---- ---- ---- rw-/--- (r--/r--) rw-/---
okok ---- okok ---- rwx/rwx (r--/r--) r--/r-x
okok ---- okok ---- rwx/rw- (r--/r--) rw-/rw-
okok ---- okok ---- rw-/rwx (r--/r--) -w-/-wx
okok ---- okok ---- rw-/rw- (r--/r--) rw-/rw-
okok ---- ---- ---- r-x/--x (r--/r--) r-x/--x
okok ---- ---- ---- r-x/--- (r--/r--) r-x/---
okok ---- ---- ---- r--/--x (r--/r--) ---/--x
okok ---- ---- ---- r--/--- (r--/r--) r--/---
okok ---- okok ---- r-x/r-x (r--/r--) r-x/r-x
okok ---- okok ---- r-x/r-- (r--/r--) r-x/r--
okok ---- okok ---- r--/r-x (r--/r--) ---/--x
okok ---- okok ---- r--/r-- (r--/r--) r--/r--
okok ---- ---- ---- rwx/--x (r-x/--x) r-x/--x
okok ---- ---- ---- rwx/--- (r-x/--x) rwx/---
---- ---- ---- ---- rw-/--x (r-x/--x) -w-/--x
okok ---- ---- ---- rw-/--- (r-x/--x) rw-/---
okok ---- ---- ---- rwx/rwx (r-x/--x) r--/r-x
okok ---- ---- ---- rwx/rw- (r-x/--x) rw-/rw-
---- ---- ---- ---- rw-/rwx (r-x/--x) -w-/-wx
okok ---- ---- ---- rw-/rw- (r-x/--x) rw-/rw-
okok ---- ---- ---- r-x/--x (r-x/--x) r-x/--x
okok ---- ---- ---- r-x/--- (r-x/--x) r-x/---
---- ---- ---- ---- r--/--x (r-x/--x) ---/--x
okok ---- ---- ---- r--/--- (r-x/--x) r--/---
okok ---- ---- ---- r-x/r-x (r-x/--x) r-x/r-x
okok ---- ---- ---- r-x/r-- (r-x/--x) r-x/r--
---- ---- ---- ---- r--/r-x (r-x/--x) ---/--x
okok ---- ---- ---- r--/r-- (r-x/--x) r--/r--
okok ---- ---- ---- rwx/--x (r-x/---) r-x/--x
okok ---- ---- ---- rwx/--- (r-x/---) rwx/---
okok ---- ---- ---- rw-/--x (r-x/---) -w-/--x
okok ---- ---- ---- rw-/--- (r-x/---) rw-/---
okok ---- ---- ---- rwx/rwx (r-x/---) r--/r-x
okok ---- ---- ---- rwx/rw- (r-x/---) rw-/rw-
okok ---- ---- ---- rw-/rwx (r-x/---) -w-/-wx
okok ---- ---- ---- rw-/rw- (r-x/---) rw-/rw-
okok ---- ---- ---- r-x/--x (r-x/---) r-x/--x
okok ---- ---- ---- r-x/--- (r-x/---) r-x/---
okok ---- ---- ---- r--/--x (r-x/---) ---/--x
okok ---- ---- ---- r--/--- (r-x/---) r--/---
okok ---- ---- ---- r-x/r-x (r-x/---) r-x/r-x
okok ---- ---- ---- r-x/r-- (r-x/---) r-x/r--
okok ---- ---- ---- r--/r-x (r-x/---) ---/--x
okok ---- ---- ---- r--/r-- (r-x/---) r--/r--
---- ---- ---- ---- rwx/--x (r--/--x) r-x/--x
okok ---- ---- ---- rwx/--- (r--/--x) rwx/---
---- ---- ---- ---- rw-/--x (r--/--x) -w-/--x
okok ---- ---- ---- rw-/--- (r--/--x) rw-/---
---- ---- ---- ---- rwx/rwx (r--/--x) r--/r-x
okok ---- ---- ---- rwx/rw- (r--/--x) rw-/rw-
---- ---- ---- ---- rw-/rwx (r--/--x) -w-/-wx
okok ---- ---- ---- rw-/rw- (r--/--x) rw-/rw-
---- ---- ---- ---- r-x/--x (r--/--x) r-x/--x
okok ---- ---- ---- r-x/--- (r--/--x) r-x/---
---- ---- ---- ---- r--/--x (r--/--x) ---/--x
okok ---- ---- ---- r--/--- (r--/--x) r--/---
---- ---- ---- ---- r-x/r-x (r--/--x) r-x/r-x
okok ---- ---- ---- r-x/r-- (r--/--x) r-x/r--
---- ---- ---- ---- r--/r-x (r--/--x) ---/--x
okok ---- ---- ---- r--/r-- (r--/--x) r--/r--
okok ---- ---- ---- rwx/--x (r--/---) r-x/--x
okok ---- ---- ---- rwx/--- (r--/---) rwx/---
okok ---- ---- ---- rw-/--x (r--/---) -w-/--x
okok ---- ---- ---- rw-/--- (r--/---) rw-/---
okok ---- ---- ---- rwx/rwx (r--/---) r--/r-x
okok ---- ---- ---- rwx/rw- (r--/---) rw-/rw-
okok ---- ---- ---- rw-/rwx (r--/---) -w-/-wx
okok ---- ---- ---- rw-/rw- (r--/---) rw-/rw-
okok ---- ---- ---- r-x/--x (r--/---) r-x/--x
okok ---- ---- ---- r-x/--- (r--/---) r-x/---
okok ---- ---- ---- r--/--x (r--/---) ---/--x
okok ---- ---- ---- r--/--- (r--/---) r--/---
okok ---- ---- ---- r-x/r-x (r--/---) r-x/r-x
okok ---- ---- ---- r-x/r-- (r--/---) r-x/r--
okok ---- ---- ---- r--/r-x (r--/---) ---/--x
okok ---- ---- ---- r--/r-- (r--/---) r--/r--

[ACTUAL]  TTE     (HPD)     APRR
[r--/--x] rwx/--x (rwx/rwx) r-x/--x
[rw-/---] rwx/--- (rwx/rwx) rwx/---
[-w-/--x] rw-/--x (rwx/rwx) -w-/--x
[rw-/---] rw-/--- (rwx/rwx) rw-/---
[r--/r--] rwx/rwx (rwx/rwx) r--/r-x
[rw-/rw-] rwx/rw- (rwx/rwx) rw-/rw-
[-w-/-w-] rw-/rwx (rwx/rwx) -w-/-wx
[rw-/rw-] rw-/rw- (rwx/rwx) rw-/rw-
[r-x/--x] r-x/--x (rwx/rwx) r-x/--x
[r-x/---] r-x/--- (rwx/rwx) r-x/---
[---/--x] r--/--x (rwx/rwx) ---/--x
[r--/---] r--/--- (rwx/rwx) r--/---
[r-x/r-x] r-x/r-x (rwx/rwx) r-x/r-x
[r-x/r--] r-x/r-- (rwx/rwx) r-x/r--
[---/--x] r--/r-x (rwx/rwx) ---/--x
[r--/r--] r--/r-- (rwx/rwx) r--/r--
[rw-/---] rwx/--x (rwx/rw-) r-x/--x
[rw-/---] rwx/--- (rwx/rw-) rwx/---
[rw-/---] rw-/--x (rwx/rw-) -w-/--x
[rw-/---] rw-/--- (rwx/rw-) rw-/---
[rw-/rw-] rwx/rwx (rwx/rw-) r--/r-x
[rw-/rw-] rwx/rw- (rwx/rw-) rw-/rw-
[rw-/rw-] rw-/rwx (rwx/rw-) -w-/-wx
[rw-/rw-] rw-/rw- (rwx/rw-) rw-/rw-
[r-x/---] r-x/--x (rwx/rw-) r-x/--x
[r-x/---] r-x/--- (rwx/rw-) r-x/---
[r--/---] r--/--x (rwx/rw-) ---/--x
[r--/---] r--/--- (rwx/rw-) r--/---
[r-x/r--] r-x/r-x (rwx/rw-) r-x/r-x
[r-x/r--] r-x/r-- (rwx/rw-) r-x/r--
[r--/r--] r--/r-x (rwx/rw-) ---/--x
[r--/r--] r--/r-- (rwx/rw-) r--/r--
[-w-/--x] rwx/--x (rw-/rwx) r-x/--x
[rw-/---] rwx/--- (rw-/rwx) rwx/---
[-w-/--x] rw-/--x (rw-/rwx) -w-/--x
[rw-/---] rw-/--- (rw-/rwx) rw-/---
[-w-/-w-] rwx/rwx (rw-/rwx) r--/r-x
[rw-/rw-] rwx/rw- (rw-/rwx) rw-/rw-
[-w-/-w-] rw-/rwx (rw-/rwx) -w-/-wx
[rw-/rw-] rw-/rw- (rw-/rwx) rw-/rw-
[---/--x] r-x/--x (rw-/rwx) r-x/--x
[r--/---] r-x/--- (rw-/rwx) r-x/---
[---/--x] r--/--x (rw-/rwx) ---/--x
[r--/---] r--/--- (rw-/rwx) r--/---
[---/--x] r-x/r-x (rw-/rwx) r-x/r-x
[r--/r--] r-x/r-- (rw-/rwx) r-x/r--
[---/--x] r--/r-x (rw-/rwx) ---/--x
[r--/r--] r--/r-- (rw-/rwx) r--/r--
[rw-/---] rwx/--x (rw-/rw-) r-x/--x
[rw-/---] rwx/--- (rw-/rw-) rwx/---
[rw-/---] rw-/--x (rw-/rw-) -w-/--x
[rw-/---] rw-/--- (rw-/rw-) rw-/---
[rw-/rw-] rwx/rwx (rw-/rw-) r--/r-x
[rw-/rw-] rwx/rw- (rw-/rw-) rw-/rw-
[rw-/rw-] rw-/rwx (rw-/rw-) -w-/-wx
[rw-/rw-] rw-/rw- (rw-/rw-) rw-/rw-
[r--/---] r-x/--x (rw-/rw-) r-x/--x
[r--/---] r-x/--- (rw-/rw-) r-x/---
[r--/---] r--/--x (rw-/rw-) ---/--x
[r--/---] r--/--- (rw-/rw-) r--/---
[r--/r--] r-x/r-x (rw-/rw-) r-x/r-x
[r--/r--] r-x/r-- (rw-/rw-) r-x/r--
[r--/r--] r--/r-x (rw-/rw-) ---/--x
[r--/r--] r--/r-- (rw-/rw-) r--/r--
[r--/--x] rwx/--x (rwx/--x) r-x/--x
[rw-/---] rwx/--- (rwx/--x) rwx/---
[-w-/--x] rw-/--x (rwx/--x) -w-/--x
[rw-/---] rw-/--- (rwx/--x) rw-/---
[r--/--x] rwx/rwx (rwx/--x) r--/r-x
[rw-/---] rwx/rw- (rwx/--x) rw-/rw-
[-w-/--x] rw-/rwx (rwx/--x) -w-/-wx
[rw-/---] rw-/rw- (rwx/--x) rw-/rw-
[r-x/--x] r-x/--x (rwx/--x) r-x/--x
[r-x/---] r-x/--- (rwx/--x) r-x/---
[---/--x] r--/--x (rwx/--x) ---/--x
[r--/---] r--/--- (rwx/--x) r--/---
[r-x/--x] r-x/r-x (rwx/--x) r-x/r-x
[r-x/---] r-x/r-- (rwx/--x) r-x/r--
[---/--x] r--/r-x (rwx/--x) ---/--x
[r--/---] r--/r-- (rwx/--x) r--/r--
[rw-/---] rwx/--x (rwx/---) r-x/--x
[rw-/---] rwx/--- (rwx/---) rwx/---
[rw-/---] rw-/--x (rwx/---) -w-/--x
[rw-/---] rw-/--- (rwx/---) rw-/---
[rw-/---] rwx/rwx (rwx/---) r--/r-x
[rw-/---] rwx/rw- (rwx/---) rw-/rw-
[rw-/---] rw-/rwx (rwx/---) -w-/-wx
[rw-/---] rw-/rw- (rwx/---) rw-/rw-
[r-x/---] r-x/--x (rwx/---) r-x/--x
[r-x/---] r-x/--- (rwx/---) r-x/---
[r--/---] r--/--x (rwx/---) ---/--x
[r--/---] r--/--- (rwx/---) r--/---
[r-x/---] r-x/r-x (rwx/---) r-x/r-x
[r-x/---] r-x/r-- (rwx/---) r-x/r--
[r--/---] r--/r-x (rwx/---) ---/--x
[r--/---] r--/r-- (rwx/---) r--/r--
[-w-/--x] rwx/--x (rw-/--x) r-x/--x
[rw-/---] rwx/--- (rw-/--x) rwx/---
[-w-/--x] rw-/--x (rw-/--x) -w-/--x
[rw-/---] rw-/--- (rw-/--x) rw-/---
[-w-/--x] rwx/rwx (rw-/--x) r--/r-x
[rw-/---] rwx/rw- (rw-/--x) rw-/rw-
[-w-/--x] rw-/rwx (rw-/--x) -w-/-wx
[rw-/---] rw-/rw- (rw-/--x) rw-/rw-
[---/--x] r-x/--x (rw-/--x) r-x/--x
[r--/---] r-x/--- (rw-/--x) r-x/---
[---/--x] r--/--x (rw-/--x) ---/--x
[r--/---] r--/--- (rw-/--x) r--/---
[---/--x] r-x/r-x (rw-/--x) r-x/r-x
[r--/---] r-x/r-- (rw-/--x) r-x/r--
[---/--x] r--/r-x (rw-/--x) ---/--x
[r--/---] r--/r-- (rw-/--x) r--/r--
[rw-/---] rwx/--x (rw-/---) r-x/--x
[rw-/---] rwx/--- (rw-/---) rwx/---
[rw-/---] rw-/--x (rw-/---) -w-/--x
[rw-/---] rw-/--- (rw-/---) rw-/---
[rw-/---] rwx/rwx (rw-/---) r--/r-x
[rw-/---] rwx/rw- (rw-/---) rw-/rw-
[rw-/---] rw-/rwx (rw-/---) -w-/-wx
[rw-/---] rw-/rw- (rw-/---) rw-/rw-
[r--/---] r-x/--x (rw-/---) r-x/--x
[r--/---] r-x/--- (rw-/---) r-x/---
[r--/---] r--/--x (rw-/---) ---/--x
[r--/---] r--/--- (rw-/---) r--/---
[r--/---] r-x/r-x (rw-/---) r-x/r-x
[r--/---] r-x/r-- (rw-/---) r-x/r--
[r--/---] r--/r-x (rw-/---) ---/--x
[r--/---] r--/r-- (rw-/---) r--/r--
[r-x/--x] rwx/--x (r-x/r-x) r-x/--x
[r-x/---] rwx/--- (r-x/r-x) rwx/---
[---/--x] rw-/--x (r-x/r-x) -w-/--x
[r--/---] rw-/--- (r-x/r-x) rw-/---
[r-x/r-x] rwx/rwx (r-x/r-x) r--/r-x
[r-x/r--] rwx/rw- (r-x/r-x) rw-/rw-
[---/--x] rw-/rwx (r-x/r-x) -w-/-wx
[r--/r--] rw-/rw- (r-x/r-x) rw-/rw-
[r-x/--x] r-x/--x (r-x/r-x) r-x/--x
[r-x/---] r-x/--- (r-x/r-x) r-x/---
[---/--x] r--/--x (r-x/r-x) ---/--x
[r--/---] r--/--- (r-x/r-x) r--/---
[r-x/r-x] r-x/r-x (r-x/r-x) r-x/r-x
[r-x/r--] r-x/r-- (r-x/r-x) r-x/r--
[---/--x] r--/r-x (r-x/r-x) ---/--x
[r--/r--] r--/r-- (r-x/r-x) r--/r--
[r-x/---] rwx/--x (r-x/r--) r-x/--x
[r-x/---] rwx/--- (r-x/r--) rwx/---
[r--/---] rw-/--x (r-x/r--) -w-/--x
[r--/---] rw-/--- (r-x/r--) rw-/---
[r-x/r--] rwx/rwx (r-x/r--) r--/r-x
[r-x/r--] rwx/rw- (r-x/r--) rw-/rw-
[r--/r--] rw-/rwx (r-x/r--) -w-/-wx
[r--/r--] rw-/rw- (r-x/r--) rw-/rw-
[r-x/---] r-x/--x (r-x/r--) r-x/--x
[r-x/---] r-x/--- (r-x/r--) r-x/---
[r--/---] r--/--x (r-x/r--) ---/--x
[r--/---] r--/--- (r-x/r--) r--/---
[r-x/r--] r-x/r-x (r-x/r--) r-x/r-x
[r-x/r--] r-x/r-- (r-x/r--) r-x/r--
[r--/r--] r--/r-x (r-x/r--) ---/--x
[r--/r--] r--/r-- (r-x/r--) r--/r--
[---/--x] rwx/--x (r--/r-x) r-x/--x
[r--/---] rwx/--- (r--/r-x) rwx/---
[---/--x] rw-/--x (r--/r-x) -w-/--x
[r--/---] rw-/--- (r--/r-x) rw-/---
[---/--x] rwx/rwx (r--/r-x) r--/r-x
[r--/r--] rwx/rw- (r--/r-x) rw-/rw-
[---/--x] rw-/rwx (r--/r-x) -w-/-wx
[r--/r--] rw-/rw- (r--/r-x) rw-/rw-
[---/--x] r-x/--x (r--/r-x) r-x/--x
[r--/---] r-x/--- (r--/r-x) r-x/---
[---/--x] r--/--x (r--/r-x) ---/--x
[r--/---] r--/--- (r--/r-x) r--/---
[---/--x] r-x/r-x (r--/r-x) r-x/r-x
[r--/r--] r-x/r-- (r--/r-x) r-x/r--
[---/--x] r--/r-x (r--/r-x) ---/--x
[r--/r--] r--/r-- (r--/r-x) r--/r--
[r--/---] rwx/--x (r--/r--) r-x/--x
[r--/---] rwx/--- (r--/r--) rwx/---
[r--/---] rw-/--x (r--/r--) -w-/--x
[r--/---] rw-/--- (r--/r--) rw-/---
[r--/r--] rwx/rwx (r--/r--) r--/r-x
[r--/r--] rwx/rw- (r--/r--) rw-/rw-
[r--/r--] rw-/rwx (r--/r--) -w-/-wx
[r--/r--] rw-/rw- (r--/r--) rw-/rw-
[r--/---] r-x/--x (r--/r--) r-x/--x
[r--/---] r-x/--- (r--/r--) r-x/---
[r--/---] r--/--x (r--/r--) ---/--x
[r--/---] r--/--- (r--/r--) r--/---
[r--/r--] r-x/r-x (r--/r--) r-x/r-x
[r--/r--] r-x/r-- (r--/r--) r-x/r--
[r--/r--] r--/r-x (r--/r--) ---/--x
[r--/r--] r--/r-- (r--/r--) r--/r--
[r-x/--x] rwx/--x (r-x/--x) r-x/--x
[r-x/---] rwx/--- (r-x/--x) rwx/---
[---/--x] rw-/--x (r-x/--x) -w-/--x
[r--/---] rw-/--- (r-x/--x) rw-/---
[r-x/--x] rwx/rwx (r-x/--x) r--/r-x
[r-x/---] rwx/rw- (r-x/--x) rw-/rw-
[---/--x] rw-/rwx (r-x/--x) -w-/-wx
[r--/---] rw-/rw- (r-x/--x) rw-/rw-
[r-x/--x] r-x/--x (r-x/--x) r-x/--x
[r-x/---] r-x/--- (r-x/--x) r-x/---
[---/--x] r--/--x (r-x/--x) ---/--x
[r--/---] r--/--- (r-x/--x) r--/---
[r-x/--x] r-x/r-x (r-x/--x) r-x/r-x
[r-x/---] r-x/r-- (r-x/--x) r-x/r--
[---/--x] r--/r-x (r-x/--x) ---/--x
[r--/---] r--/r-- (r-x/--x) r--/r--
[r-x/---] rwx/--x (r-x/---) r-x/--x
