EL1R EL1W EL0R EL0W KRN/USR (HPD/HPD) APRR
okok ---- ---- ---- r-x/--- (rwx/---) r-x/---
okok ---- ---- ---- r--/--x (rwx/---) r--/--x
okok ---- ---- ---- r--/--- (rwx/---) r--/---
okok ---- ---- ---- r-x/r-x (rwx/---) r-x/r-x
okok ---- ---- ---- r-x/r-- (rwx/---) r-x/r--
okok ---- ---- ---- r--/r-x (rwx/---) r--/r-x
okok ---- ---- ---- r--/r-- (rwx/---) r--/r--
okok okok ---- ---- rwx/--x (rw-/--x) rwx/--x
okok okok ---- ---- rwx/--- (rw-/--x) rwx/---
okok okok ---- ---- rw-/--x (rw-/--x) rw-/--x
okok okok ---- ---- rw-/--- (rw-/--x) rw-/---
okok okok ---- ---- rwx/rwx (rw-/--x) rw-/rwx
okok okok ---- ---- rwx/rw- (rw-/--x) rw-/rw-
okok okok ---- ---- rw-/rwx (rw-/--x) rw-/rwx
okok okok ---- ---- rw-/rw- (rw-/--x) rw-/rw-
okok ---- ---- ---- r-x/--x (rw-/--x) r-x/--x
okok ---- ---- ---- r-x/--- (rw-/--x) r-x/---
okok ---- ---- ---- r--/--x (rw-/--x) r--/--x
okok ---- ---- ---- r--/--- (rw-/--x) r--/---
okok ---- ---- ---- r-x/r-x (rw-/--x) r-x/r-x
okok ---- ---- ---- r-x/r-- (rw-/--x) r-x/r--
okok ---- ---- ---- r--/r-x (rw-/--x) r--/r-x
okok ---- ---- ---- r--/r-- (rw-/--x) r--/r--
okok okok ---- ---- rwx/--x (rw-/---) rwx/--x
okok okok ---- ---- rwx/--- (rw-/---) rwx/---
okok okok ---- ---- rw-/--x (rw-/---) rw-/--x
okok okok ---- ---- rw-/--- (rw-/---) rw-/---
okok okok ---- ---- rwx/rwx (rw-/---) rw-/rwx
okok okok ---- ---- rwx/rw- (rw-/---) rw-/rw-
okok okok ---- ---- rw-/rwx (rw-/---) rw-/rwx
okok okok ---- ---- rw-/rw- (rw-/---) rw-/rw-
okok ---- ---- ---- r-x/--x (rw-/---) r-x/--x
okok ---- ---- ---- r-x/--- (rw-/---) r-x/---
okok ---- ---- ---- r--/--x (rw-/---) r--/--x
okok ---- ---- ---- r--/--- (rw-/---) r--/---
okok ---- ---- ---- r-x/r-x (rw-/---) r-x/r-x
okok ---- ---- ---- r-x/r-- (rw-/---) r-x/r--
okok ---- ---- ---- r--/r-x (rw-/---) r--/r-x
okok ---- ---- ---- r--/r-- (rw-/---) r--/r--
okok ---- ---- ---- rwx/--x (r-x/r-x) rwx/--x
okok ---- ---- ---- rwx/--- (r-x/r-x) rwx/---
okok ---- ---- ---- rw-/--x (r-x/r-x) rw-/--x
okok ---- ---- ---- rw-/--- (r-x/r-x) rw-/---
okok ---- okok ---- rwx/rwx (r-x/r-x) rw-/rwx
