EL1R EL1W EL0R EL0W KRN/USR (HPD/HPD) APRR
okok ---- ---- ---- r-x/r-x (rw-/---) r-x/r-x
okok ---- ---- ---- r-x/r-- (rw-/---) r-x/r--
okok ---- ---- ---- r--/r-x (rw-/---) r--/r-x
okok ---- ---- ---- r--/r-- (rw-/---) r--/r--
---- ---- ---- ---- rwx/--x (r-x/r-x) -wx/--x
okok ---- ---- ---- rwx/--- (r-x/r-x) rwx/---
---- ---- ---- ---- rw-/--x (r-x/r-x) -w-/--x
okok ---- ---- ---- rw-/--- (r-x/r-x) rw-/---
okok ---- okok ---- rwx/rwx (r-x/r-x) rw-/rwx
okok ---- okok ---- rwx/rw- (r-x/r-x) rw-/rw-
okok ---- okok ---- rw-/rwx (r-x/r-x) rw-/rwx
okok ---- okok ---- rw-/rw- (r-x/r-x) rw-/rw-
---- ---- ---- ---- r-x/--x (r-x/r-x) --x/--x
okok ---- ---- ---- r-x/--- (r-x/r-x) r-x/---
---- ---- ---- ---- r--/--x (r-x/r-x) ---/--x
okok ---- ---- ---- r--/--- (r-x/r-x) r--/---
okok ---- okok ---- r-x/r-x (r-x/r-x) r-x/r-x
okok ---- okok ---- r-x/r-- (r-x/r-x) r-x/r--
okok ---- okok ---- r--/r-x (r-x/r-x) r--/r-x
okok ---- okok ---- r--/r-- (r-x/r-x) r--/r--
okok ---- ---- ---- rwx/--x (r-x/r--) -wx/--x
okok ---- ---- ---- rwx/--- (r-x/r--) rwx/---
okok ---- ---- ---- rw-/--x (r-x/r--) -w-/--x
okok ---- ---- ---- rw-/--- (r-x/r--) rw-/---
okok ---- okok ---- rwx/rwx (r-x/r--) rw-/rwx
okok ---- okok ---- rwx/rw- (r-x/r--) rw-/rw-
okok ---- okok ---- rw-/rwx (r-x/r--) rw-/rwx
okok ---- okok ---- rw-/rw- (r-x/r--) rw-/rw-
okok ---- ---- ---- r-x/--x (r-x/r--) --x/--x
okok ---- ---- ---- r-x/--- (r-x/r--) r-x/---
okok ---- ---- ---- r--/--x (r-x/r--) ---/--x
okok ---- ---- ---- r--/--- (r-x/r--) r--/---
okok ---- okok ---- r-x/r-x (r-x/r--) r-x/r-x
okok ---- okok ---- r-x/r-- (r-x/r--) r-x/r--
okok ---- okok ---- r--/r-x (r-x/r--) r--/r-x
okok ---- okok ---- r--/r-- (r-x/r--) r--/r--
---- ---- ---- ---- rwx/--x (r--/r-x) -wx/--x
okok ---- ---- ---- rwx/--- (r--/r-x) rwx/---
---- ---- ---- ---- rw-/--x (r--/r-x) -w-/--x
okok ---- ---- ---- rw-/--- (r--/r-x) rw-/---
okok ---- okok ---- rwx/rwx (r--/r-x) rw-/rwx
okok ---- okok ---- rwx/rw- (r--/r-x) rw-/rw-
okok ---- okok ---- rw-/rwx (r--/r-x) rw-/rwx
okok ---- okok ---- rw-/rw- (r--/r-x) rw-/rw-
---- ---- ---- ---- r-x/--x (r--/r-x) --x/--x
okok ---- ---- ---- r-x/--- (r--/r-x) r-x/---
---- ---- ---- ---- r--/--x (r--/r-x) ---/--x
okok ---- ---- ---- r--/--- (r--/r-x) r--/---
okok ---- okok ---- r-x/r-x (r--/r-x) r-x/r-x
okok ---- okok ---- r-x/r-- (r--/r-x) r-x/r--
okok ---- okok ---- r--/r-x (r--/r-x) r--/r-x
okok ---- okok ---- r--/r-- (r--/r-x) r--/r--
okok ---- ---- ---- rwx/--x (r--/r--) -wx/--x
okok ---- ---- ---- rwx/--- (r--/r--) rwx/---
okok ---- ---- ---- rw-/--x (r--/r--) -w-/--x
okok ---- ---- ---- rw-/--- (r--/r--) rw-/---
okok ---- okok ---- rwx/rwx (r--/r--) rw-/rwx
okok ---- okok ---- rwx/rw- (r--/r--) rw-/rw-
okok ---- okok ---- rw-/rwx (r--/r--) rw-/rwx
okok ---- okok ---- rw-/rw- (r--/r--) rw-/rw-
okok ---- ---- ---- r-x/--x (r--/r--) --x/--x
okok ---- ---- ---- r-x/--- (r--/r--) r-x/---
