EL1R EL1W EL0R EL0W KRN/USR (HPD/HPD) APRR
[r--/---] r--/--- (r-x/--x) r--/---
[--x/--x] r-x/r-x (r-x/--x) r-x/r-x
[r-x/---] r-x/r-- (r-x/--x) r-x/r--
[---/--x] r--/r-x (r-x/--x) r--/r-x
[r--/---] r--/r-- (r-x/--x) r--/r--
[r-x/---] rwx/--x (r-x/---) -wx/--x
[r-x/---] rwx/--- (r-x/---) rwx/---
[r--/---] rw-/--x (r-x/---) -w-/--x
[r--/---] rw-/--- (r-x/---) rw-/---
[r-x/---] rwx/rwx (r-x/---) rw-/rwx
[r-x/---] rwx/rw- (r-x/---) rw-/rw-
[r--/---] rw-/rwx (r-x/---) rw-/rwx
[r--/---] rw-/rw- (r-x/---) rw-/rw-
[r-x/---] r-x/--x (r-x/---) --x/--x
[r-x/---] r-x/--- (r-x/---) r-x/---
[r--/---] r--/--x (r-x/---) ---/--x
[r--/---] r--/--- (r-x/---) r--/---
[r-x/---] r-x/r-x (r-x/---) r-x/r-x
[r-x/---] r-x/r-- (r-x/---) r-x/r--
[r--/---] r--/r-x (r-x/---) r--/r-x
[r--/---] r--/r-- (r-x/---) r--/r--
[---/--x] rwx/--x (r--/--x) -wx/--x
[r--/---] rwx/--- (r--/--x) rwx/---
[---/--x] rw-/--x (r--/--x) -w-/--x
[r--/---] rw-/--- (r--/--x) rw-/---
[---/--x] rwx/rwx (r--/--x) rw-/rwx
[r--/---] rwx/rw- (r--/--x) rw-/rw-
[---/--x] rw-/rwx (r--/--x) rw-/rwx
[r--/---] rw-/rw- (r--/--x) rw-/rw-
[---/--x] r-x/--x (r--/--x) --x/--x
[r--/---] r-x/--- (r--/--x) r-x/---
[---/--x] r--/--x (r--/--x) ---/--x
[r--/---] r--/--- (r--/--x) r--/---
[---/--x] r-x/r-x (r--/--x) r-x/r-x
[r--/---] r-x/r-- (r--/--x) r-x/r--
[---/--x] r--/r-x (r--/--x) r--/r-x
[r--/---] r--/r-- (r--/--x) r--/r--
[r--/---] rwx/--x (r--/---) -wx/--x
[r--/---] rwx/--- (r--/---) rwx/---
[r--/---] rw-/--x (r--/---) -w-/--x
[r--/---] rw-/--- (r--/---) rw-/---
[r--/---] rwx/rwx (r--/---) rw-/rwx
[r--/---] rwx/rw- (r--/---) rw-/rw-
[r--/---] rw-/rwx (r--/---) rw-/rwx
[r--/---] rw-/rw- (r--/---) rw-/rw-
[r--/---] r-x/--x (r--/---) --x/--x
[r--/---] r-x/--- (r--/---) r-x/---
[r--/---] r--/--x (r--/---) ---/--x
[r--/---] r--/--- (r--/---) r--/---
[r--/---] r-x/r-x (r--/---) r-x/r-x
[r--/---] r-x/r-- (r--/---) r-x/r--
[r--/---] r--/r-x (r--/---) r--/r-x
[r--/---] r--/r-- (r--/---) r--/r--
